Chilo polychrysa,C. polychrysa,Chilo,Crambidae,Lepidoptera,Insecta,Arthropoda,Animal,Dark-headed striped borer
Chilo sacchariphagus,C. sacchariphagus,Chilo,Crambidae,Lepidoptera,Insecta,Arthropoda,Animal,Spotted sugarcane borer
Chilo terrenellus,C. terrenellus,Chilo,Crambidae,Lepidoptera,Insecta,Arthropoda,Animal,Sugarcane stalk borer
Chlamydophila abortus,C. abortus,Chlamydia,Chlamydiaceae,Chlamydiales,Chlamydiae,Chlamydiae,Bacteria,enzootic abortion of ewes,ovine chlamydiosis
Chochliomyia hominivorax,C. hominivorax,Cochliomyia,Calliphoridae,Diptera,Insecta,Arthropoda,Animal,New World screw-worm fly,screw-worm
Chronic wasting disease,Transmissible spongiform encephalopathies,Transmissible spongiform encephalopathy,Prion disease
Chrysomya bezziana,C. bezziana,Chrysomya,Stratiomyidae,Diptera,Insecta,Arthropoda,Animal,Screw-worm fly
Classical swine fever virus,Pestivirus,Flaviviridae,Virus,Classical swine fever
Coptotermes formosanus,C. formosanus,Coptotermes,Rhinotermitidae,Blattodea,Insecta,Arthropoda,Animal,Formosan subterranean termite
Coptotermes gestroi,C. gestroi,Coptotermes,Rhinotermitidae,Blattodea,Insecta,Arthropoda,Animal,Asian subterranean termite
Crimean-Congo haemorrhagic fever virus,Nairovirus,Nairoviridae,Bunyavirales,Virus,Crimean-Congo haemorrhagic fever
Cryptotermes brevis,C. brevis,Cryptotermes,Kalotermitidae,Blattodea,Insecta,Arthropoda,Animal,West Indian drywood termite
Cryptotermes dudleyi,C. dudleyi,Cryptotermes,Kalotermitidae,Blattodea,Insecta,Arthropoda,Animal,Drywood termite
Cysticercus cellulosae,C. cellulosae,Cysticercus,Taeniidae,Cyclophyllidea,Cestoda,Platyhelminthes,Animal,Porcine cysticercosis
Devil facial tumor disease,Devil facial tumour,Devil facial tumor,Devil facial tumour disease
Diaphorina citri,D. citri,Diaphorina,Liviidae,Hemiptera,Insecta,Arthropoda,Animal,Asian citrus psyllid
Dilobopterus costalimai,D. costalimai,Dilobopterus,Cicadellidae,Hemiptera,Insecta,Arthropoda,Animal,Sharpshooter
Diuraphis noxia,D. noxia,Diuraphis,Aphididae,Hemiptera,Insecta,Arthropoda,Animal,Russian wheat aphid
Draeculacephala minerva,D. minerva,Draeculacephala,Cicadellidae,Hemiptera,Insecta,Arthropoda,Animal,Grass sharpshooter,Green sharpshooter
Drosophila suzukii,D. suzukii,Drosophila,Drosophilidae,Diptera,Insecta,Arthropoda,Animal,Spotted winged drosophila
Duck astrovirus type 1,Aphthovirus,Picornaviridae,Picornavirales,Virus,Duck virus hepatitis
Eastern equine encephalomyelitis virus,Alphavirus,Togaviridae,Virus,Equine encephalomyelitis,Eastern equine encephalitis virus
Echinococcus multilocularis,E. multilocularis,Echinococcus,Taeniidae,Cyclophyllidea,Cestoda,Platyhelminthes,Animal,Echinococcosis
Ehrlichia ruminantium,E. ruminantium,Ehrlichia,Anaplasmataceae,Rickettsiales,Alphaproteobacteria,Proteobacteria,Bacteria,Heartwater
Epizootic haemorrhagic disease virus,Orbivirus,Reoviridae,Virus,Hepizootic haemorrhagic disease
Equid alphaherpesvirus 1,Varicellovirus,Herpesviridae,Herpesvirales,Virus,equid herpesvirus-1
Equine arteritis virus,Equartevirus,Arteriviridae,Nidovirales,Virus,Equine viral arteritis
Equine encephalosis virus,Orbivirus,Reoviridae,Virus,Equine encephalosis
Equine infectious anaemia virus,Lentivirus,Retroviridae,Ortervirales,Virus,Equine infectious anaemia
Equine influenza virus,Alphainfluenzavirus,Orthomyxoviridae,Virus,Equine influenza
Erwinia amylovora,E. amylovora,Erwinia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria,Proteobacteria,Bacteria,Fire blight
Eurygaster integriceps,E. integriceps,Eurygaster,Scutelleridae,Hemiptera,Insecta,Arthropoda,Animal,Sunn pest
Feline spongiform encephalopathy,Transmissible spongiform encephalopathies,Transmissible spongiform encephalopathy,Prion disease
Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,Picornavirales,Virus,Foot-and-mouth disease
Francisella tularensis,F. tularensis,Francisella,Francisellaceae,Thiotrichales,Gammaproteobacteria,Proteobacteria,Bacteria,Tularaemia
Fusarium oxysporum f. sp. cubense Tropical Race 4,F. oxysporum f. sp. cubense Tropical Race 4,Fusarium,Nectriaceae,Hypocreales,Sordariomycetes,Ascomycota,Fungi,Panama disease Tropical Race 4,Fusarium oxysporum
Fusarium oxysporum f. sp. vasinfectum,F. oxysporum f. sp. Vasinfectum,Fusarium,Nectriaceae,Hypocreales,Sordariomycetes,Ascomycota,Fungi,Fusarium wilt,Fusarium oxysporum
Getah virus,Alphavirus,Togaviridae,Virus,Getah virus
Globodera pallida,G. pallida,Globodera,Heteroderidae,Tylenchida,Secernentea,Nematoda,Animal,Potato cyst nematode
Globodera rostochiensis,G. rostochiensis,Globodera,Heteroderidae,Tylenchida,Secernentea,Nematoda,Animal,Potato cyst nematode
Goatpox virus,Capripoxvirus,Poxviridae,Virus,Goat pox
Graphocephala atropunctata,G. atropunctata,Graphocephala,Cicadellidae,Hemiptera,Insecta,Arthropoda,Animal,blue-green sharpshooter
Halyomorpha halys,H. halys,Halyomorpha,Pentatomidae,Hemiptera,Insecta,Arthropoda,Animal,Brown-marmorated stink bug
Hendra henipavirus,Henipavirus,Paramyxoviridae,Mononegavirales,Virus,Hendra virus
Heterodera avenae,H. avenae,Heterodera,Heteroderidae,Tylenchida,Secernentea,Nematoda,Animal,Cereal cyst nematode
Heterodera carotae,H. carotae,Heterodera,Heteroderidae,Tylenchida,Secernentea,Nematoda,Animal,Carrot cyst nematode
Heterodera ciceri,H. ciceri,Heterodera,Heteroderidae,Tylenchida,Secernentea,Nematoda,Animal,Chickpea cist nematode
Heterodera filipjevi,H. filipjevi,Heterodera,Heteroderidae,Tylenchida,Secernentea,Nematoda,Animal,Cereal cyst nematode
Heterodera glycines,H. glycines,Heterodera,Heteroderidae,Tylenchida,Secernentea,Nematoda,Animal,Soybean cyst nematode
Heterodera latipons,H. latipons,Heterodera,Heteroderidae,Tylenchida,Secernentea,Nematoda,Animal,Cereal cyst nematode
Heterodera zeae,H. zeae,Heterodera,Heteroderidae,Tylenchida,Secernentea,Nematoda,Animal,Maize cyst nematode
Histoplasma farciminosum,H. farciminosum,Histoplasma,Ajellomycetaceae,Onygenales,Eurotiomycetes,Ascomycota,Fungi,Epizootic lymphangitis
Homalodisca vitripennis,H. vitripennis,Homalodisca,Cicadellidae,Hemiptera,Insecta,Arthropoda,Animal,Glassy winged sharpshooter,Glassy-winged sharpshooter
Hylesia nigricans,H. nigricans,Hylesia,Saturniidae,Lepidoptera,Insecta,Arthropoda,Animal,Burning moth
Hypoderma,H. Hypoderma,Hypoderma,Oestridae,Diptera,Insecta,Arthropoda,Animal,Warble-fly myiasis
Incisitermes minor,I. minor,Incisitermes,Kalotermitidae,Blattodea,Insecta,Arthropoda,Animal,Western drywood termite
Infectious bursal disease virus,Avibirnavirus,Birnaviridae,Virus,Infectious bursal disease
Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,Virus,Avian influenza
Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,Virus,Influenza A viruses in swine
Jaagsiekte sheep retrovirus,Betaretrovirus,Retroviridae,Ortervirales,Virus,Pulmonary adenomatosis,Jaagsiekte
Japanese encephalitis virus,Flavivirus,Flaviviridae,Virus,Japanese encephalitis
Jembrana disease virus,Lentivirus,Retroviridae,Ortervirales,Virus,Jembrana disease
Leishmania,Trypanosomatidae,Trypanosomatina,Kinetoplastea,Euglenozoa,Protist,Leishmaniosis
Lepisiota frauenfeldi,L. frauenfeldi,Lepisiota,Formicidae,Hymenoptera,Insecta,Arthropoda,Animal,Browsing ant
Liriomyza bryoniae,L. bryoniae,Liriomyza,Agromyzidae,Diptera,Insecta,Arthropoda,Animal,Tomato leaf miner
Liriomyza cicerina,L. cicerina,Liriomyza,Agromyzidae,Diptera,Insecta,Arthropoda,Animal,Chickpea leaf miner
